norad_id,name,check,result
29710,CARTOSAT-2,existence,"OK (no GP, matches decayed status)"
32783,CARTOSAT-2A,name,OK (CARTOSAT-2A)
32783,CARTOSAT-2A,altitude,OK: current ~632 km vs nominal 635 km (delta -3)
32783,CARTOSAT-2A,inclination,OK: 97.76 deg
32783,CARTOSAT-2A,tle_age,OK: 0.2 days
36795,CARTOSAT-2B,name,OK (CARTOSAT-2B)
36795,CARTOSAT-2B,altitude,OK: current ~634 km vs nominal 635 km (delta -1)
36795,CARTOSAT-2B,inclination,OK: 97.99 deg
36795,CARTOSAT-2B,tle_age,OK: 0.3 days
41599,CARTOSAT-2C,name,OK (CARTOSAT-2C)
41599,CARTOSAT-2C,altitude,OK: current ~508 km vs nominal 505 km (delta +3)
41599,CARTOSAT-2C,inclination,OK: 97.45 deg
41599,CARTOSAT-2C,tle_age,OK: 0.2 days
41948,CARTOSAT-2D,name,OK (CARTOSAT-2D)
41948,CARTOSAT-2D,altitude,OK: current ~508 km vs nominal 505 km (delta +3)
41948,CARTOSAT-2D,inclination,OK: 97.41 deg
41948,CARTOSAT-2D,tle_age,OK: 0.2 days
42767,CARTOSAT-2E,name,OK (CARTOSAT-2E)
42767,CARTOSAT-2E,altitude,OK: current ~508 km vs nominal 505 km (delta +3)
42767,CARTOSAT-2E,inclination,OK: 97.43 deg
42767,CARTOSAT-2E,tle_age,OK: 0.2 days
43111,CARTOSAT-2F,name,OK (CARTOSAT-2F)
43111,CARTOSAT-2F,altitude,OK: current ~508 km vs nominal 505 km (delta +3)
43111,CARTOSAT-2F,inclination,OK: 97.48 deg
43111,CARTOSAT-2F,tle_age,OK: 0.3 days
44804,CARTOSAT-3,name,OK (CARTOSAT-3)
44804,CARTOSAT-3,altitude,OK: current ~508 km vs nominal 509 km (delta -1)
44804,CARTOSAT-3,inclination,OK: 97.43 deg
44804,CARTOSAT-3,tle_age,OK: 0.3 days
37387,RESOURCESAT-2,name,OK (RESOURCESAT-2)
